"","var","rel.inf","run"
"logPprodMean26","logPprodMean",2.08991996996172,263
"SstMean26","SstMean",1.50321999381246,263
"speciessmall26","speciessmall",0.602562215182197,263
"speciesgreen26","speciesgreen",0.478685290476943,263
"specieslarge26","specieslarge",0.215868556995899,263
"speciesdwarf26","speciesdwarf",0,263
"speciesnarrow26","speciesnarrow",0,263
"logShelfAreaShallow27","logShelfAreaShallow",24.3174394527637,275
"logMang27","logMang",16.0923120140583,275
"logtotalGearTonnes27","logtotalGearTonnes",13.8191890086437,275
"logProteinDiet27","logProteinDiet",9.70367446038196,275
"WGI27","WGI",7.27417511349307,275
"logGDP27","logGDP",6.32520911081177,275
"logChondCatch27","logChondCatch",4.77912399056653,275
"logCoastPop27","logCoastPop",4.08017321554255,275
"HDI27","HDI",3.99742390819235,275
"logEstDis27","logEstDis",2.47440104947281,275
"logPprodMean27","logPprodMean",2.09123929844393,275
"logFishEffort27","logFishEffort",1.72115673409797,275
"SstMean27","SstMean",1.65591786296408,275
"speciessmall27","speciessmall",0.861491916283072,275
"speciesgreen27","speciesgreen",0.63083165490237,275
"specieslarge27","specieslarge",0.176241209381846,275
"speciesdwarf27","speciesdwarf",0,275
"speciesnarrow27","speciesnarrow",0,275
