"","ISO3","occurrence","RunNo","PredValue"
"422","PAK",1,"162",0.131840246259393
"423","PNG",1,"162",0.941930423931299
"424","TGO",0,"162",0.0387648287342383
"425","VCT",0,"162",0.0492421228168947
"426","ARE",1,"173",0.319154277929944
"427","BRB",0,"173",0.0411549364458917
"428","CIV",0,"173",0.155068635162959
"429","CIV",0,"173",0.0719037308663897
"430","CMR",0,"173",0.284577389528985
"431","GHA",0,"173",0.236501530645682
"432","GIN",0,"173",0.0859896646886091
"433","GNQ",0,"173",0.0791865320237976
"434","GRD",0,"173",0.0334869328640264
"435","GRD",0,"173",0.0355828335166058
"436","GUY",1,"173",0.209571688099849
"437","HND",1,"173",0.920612370073116
"438","IDN",1,"173",0.617491030008051
"439","IDN",1,"173",0.648830393241246
"440","IND",1,"173",0.56673810162196
"441","LCA",0,"173",0.0340881541189072
"442","MAR",0,"173",0.227771533423042
"443","MOZ",1,"173",0.502719634001008
"444","MYS",0,"173",0.69260187431735
"445","MYS",0,"173",0.660022724774231
"446","PAK",1,"173",0.141478138825511
"447","PAK",1,"173",0.125378767746457
"448","PNG",1,"173",0.943228802463059
"449","TGO",0,"173",0.0451888111776319
"450","VCT",0,"173",0.0556514234811047
"451","ARE",1,"186",0.333815257982911
"452","BRB",0,"186",0.0450287243671226
"453","CIV",0,"186",0.155678787101473
"454","CIV",0,"186",0.0864228181563542
"455","CMR",0,"186",0.271900662628901
"456","GHA",0,"186",0.256342994956506
"457","GIN",0,"186",0.0993097389910337
"458","GNQ",0,"186",0.0737639279959827
"459","GRD",0,"186",0.0393400674816387
"460","GRD",0,"186",0.0406408329802512
"461","GUY",1,"186",0.23550337899333
"462","HND",1,"186",0.919097504074223
"463","IDN",1,"186",0.617863186853271
"464","IDN",1,"186",0.644607933963078
"465","IND",1,"186",0.55078047209353
"466","LCA",0,"186",0.0400287545315665
"467","MAR",0,"186",0.232905971690127
"468","MOZ",1,"186",0.526885160938669
"469","MYS",0,"186",0.688375783926938
"470","MYS",0,"186",0.656608144707062
"471","PAK",1,"186",0.150575668980058
"472","PAK",1,"186",0.130423167285959
"473","PNG",1,"186",0.934038138564758
"474","TGO",0,"186",0.0492601862639441
"475","VCT",0,"186",0.0592042158097225
"476","ARE",1,"198",0.396874045370739
"477","BRB",0,"198",0.0521342526786949
"478","CIV",0,"198",0.19300359000044
"479","CIV",0,"198",0.0985424603910553
"480","CMR",0,"198",0.331226454941305
"481","GHA",0,"198",0.286658747251033
"482","GIN",0,"198",0.125076954214341
"483","GNQ",0,"198",0.0982335490334702
"484","GRD",0,"198",0.0458745885809675
"485","GRD",0,"198",0.0475740613205388
"486","GUY",1,"198",0.240593217909446
"487","HND",1,"198",0.90149715626095
"488","IDN",1,"198",0.664311754674417
"489","IDN",1,"198",0.682998916432392
"490","IND",1,"198",0.555093577414375
"491","LCA",0,"198",0.0499475916010778
"492","MAR",0,"198",0.239413814107119
"493","MOZ",1,"198",0.523577002215985
"494","MYS",0,"198",0.641735435457923
"495","MYS",0,"198",0.61729259878724
"496","PAK",1,"198",0.173947008294329
"497","PAK",1,"198",0.15373655600715
"498","PNG",1,"198",0.915727060916232
"499","TGO",0,"198",0.0597034794031971
"500","VCT",0,"198",0.0756488518605673
"501","ARE",1,"208",0.359754232607975
"502","BRB",0,"208",0.0491814816605616
"503","CIV",0,"208",0.165885875043523
"504","CIV",0,"208",0.0829141349303909
"505","CMR",0,"208",0.320875178327503
"506","GHA",0,"208",0.265053113629822
"507","GIN",0,"208",0.120062896726603
"508","GNQ",0,"208",0.0988009052225358
"509","GRD",0,"208",0.0444746052656502
"510","GRD",0,"208",0.0463966663951076
"511","GUY",1,"208",0.244389491230685
"512","HND",1,"208",0.894450330524707
"513","IDN",1,"208",0.641345945369698
"514","IDN",1,"208",0.676230312908854
"515","IND",1,"208",0.520748411236022
"516","LCA",0,"208",0.0460852613389169
"517","MAR",0,"208",0.243641885506453
"518","MOZ",1,"208",0.529756531905984
"519","MYS",0,"208",0.664523625738107
"520","MYS",0,"208",0.640739424614939
"521","PAK",1,"208",0.157696453035224
"522","PAK",1,"208",0.150595543286928
"523","PNG",1,"208",0.925855343473827
"524","TGO",0,"208",0.0551718875161425
"525","VCT",0,"208",0.0709498905532191
"526","ARE",1,"217",0.334488172750666
"527","BRB",0,"217",0.0402033174822245
"528","CIV",0,"217",0.17212260190621
"529","CIV",0,"217",0.074514843504598
"530","CMR",0,"217",0.294935603123847
"531","GHA",0,"217",0.27233905363242
"532","GIN",0,"217",0.0941400653508159
"533","GNQ",0,"217",0.0753681890700409
"534","GRD",0,"217",0.0366641518797026
"535","GRD",0,"217",0.037759640865137
"536","GUY",1,"217",0.213401441378985
"537","HND",1,"217",0.915688353547802
"538","IDN",1,"217",0.625076935809972
"539","IDN",1,"217",0.658950822031626
"540","IND",1,"217",0.532227407534685
"541","LCA",0,"217",0.0361993827122741
"542","MAR",0,"217",0.250475408080281
"543","MOZ",1,"217",0.50616781396754
"544","MYS",0,"217",0.698400565446801
"545","MYS",0,"217",0.669571824515011
"546","PAK",1,"217",0.124954285484761
"547","PAK",1,"217",0.12563087934194
"548","PNG",1,"217",0.940359362635771
"549","TGO",0,"217",0.0429050856635231
"550","VCT",0,"217",0.0563644317491836
"551","ARE",1,"227",0.340180517190535
"552","BRB",0,"227",0.0456144707600994
"553","CIV",0,"227",0.200994552176219
"554","CIV",0,"227",0.0866857302610865
"555","CMR",0,"227",0.328427147146602
"556","GHA",0,"227",0.274598891918487
"557","GIN",0,"227",0.110427891630329
"558","GNQ",0,"227",0.0821489101545359
"559","GRD",0,"227",0.0345015566013862
"560","GRD",0,"227",0.0366538030989232
"561","GUY",1,"227",0.225511449056551
"562","HND",1,"227",0.910221371680879
"563","IDN",1,"227",0.628709966145933
"564","IDN",1,"227",0.654606878093705
"565","IND",1,"227",0.547507461052829
"566","LCA",0,"227",0.0396710812985104
"567","MAR",0,"227",0.21819892302076
"568","MOZ",1,"227",0.509745710551373
"569","MYS",0,"227",0.677772033993887
"570","MYS",0,"227",0.663339730502039
"571","PAK",1,"227",0.164430699834729
"572","PAK",1,"227",0.14961758175364
"573","PNG",1,"227",0.931771436545462
"574","TGO",0,"227",0.0480129208265438
"575","VCT",0,"227",0.0608490619023643
"576","ARE",1,"237",0.402576800181132
"577","BRB",0,"237",0.0707859110286718
"578","CIV",0,"237",0.291724764445972
"579","CIV",0,"237",0.137554937366238
"580","CMR",0,"237",0.372461051714519
"581","GHA",0,"237",0.322690523380334
"582","GIN",0,"237",0.141102817787525
"583","GNQ",0,"237",0.125314472058291
"584","GRD",0,"237",0.064867681472802
"585","GRD",0,"237",0.0683336612270294
"586","GUY",1,"237",0.276391249301223
"587","HND",1,"237",0.878147021320766
"588","IDN",1,"237",0.64645518020367
"589","IDN",1,"237",0.652771232002651
"590","IND",1,"237",0.522645690439144
"591","LCA",0,"237",0.0665009253949732
"592","MAR",0,"237",0.232803620527627
"593","MOZ",1,"237",0.570640082592233
"594","MYS",0,"237",0.635153099783132
"595","MYS",0,"237",0.619766572467312
"596","PAK",1,"237",0.209558176249154
"597","PAK",1,"237",0.185039597313211
"598","PNG",1,"237",0.889688250447999
"599","TGO",0,"237",0.0852691831332519
"600","VCT",0,"237",0.0956061195007367
"601","ARE",1,"246",0.348943901274077
"602","BRB",0,"246",0.0396124576562255
"603","CIV",0,"246",0.155898116366971
"604","CIV",0,"246",0.0718578708307326
"605","CMR",0,"246",0.294529505489328
"606","GHA",0,"246",0.229126215728428
"607","GIN",0,"246",0.0995321338337718
"608","GNQ",0,"246",0.0804758532587247
"609","GRD",0,"246",0.0336826836276499
"610","GRD",0,"246",0.0363011291724865
"611","GUY",1,"246",0.223128864044794
"612","HND",1,"246",0.923076690812762
"613","IDN",1,"246",0.630080732923286
"614","IDN",1,"246",0.64874583630713
"615","IND",1,"246",0.548738901028724
"616","LCA",0,"246",0.0338934306582588
"617","MAR",0,"246",0.241557126962083
"618","MOZ",1,"246",0.511933348958477
"619","MYS",0,"246",0.671602466507843
"620","MYS",0,"246",0.65603573462819
"621","PAK",1,"246",0.148992648628978
"622","PAK",1,"246",0.129363527731775
"623","PNG",1,"246",0.937445844754071
"624","TGO",0,"246",0.0457572636418689
"625","VCT",0,"246",0.0577754796476833
"626","ARE",1,"257",0.436001416444886
"627","BRB",0,"257",0.0549623656275493
"628","CIV",0,"257",0.207919734771
"629","CIV",0,"257",0.108320969009283
"630","CMR",0,"257",0.349894779677513
"631","GHA",0,"257",0.26537630579973
"632","GIN",0,"257",0.116459675597332
"633","GNQ",0,"257",0.0903715995353645
"634","GRD",0,"257",0.0520559853898388
"635","GRD",0,"257",0.0537844792959685
"636","GUY",1,"257",0.247421209694559
"637","HND",1,"257",0.89587464505809
"638","IDN",1,"257",0.631988859903389
"639","IDN",1,"257",0.65307791606441
"640","IND",1,"257",0.538366888075691
