"ISO3","occurrence","logtotalGearTonnes","logPprodMean","logCoastPop","logEstDis","logProteinDiet","logGDP","HDI","logMang","WGI","logChondCatch","logShelfAreaShallow","SstMean","logFishEffort","speciesdwarf","speciesgreen","specieslarge","speciesnarrow","speciessmall"
"IDN",1,18.5599547239331,0.00996615548043326,19.1693750044619,6.84293349933986,1.29954881500337,13.7453672177991,0.689,8.50712546813885,-0.181098689833333,14.2914061703367,13.7303878263243,28,6.44282528015554,0,0,0,1,0
"MYS",1,17.459787849398,0.00867477510346231,17.028565997203,5.93759709220786,1.99901648890915,12.5999270427836,0.789,7.24813974712176,0.312080825333333,12.6644053082278,11.6265895886543,27,6.66051112730373,0,0,0,1,0
"MMR",1,16.9500204642965,0.00886596690540848,16.9418061174188,8.46414397032642,1.30629096084991,11.0544724695679,0.556,6.92505486058523,-0.828688293833333,0,11.268448867108,26,3.749924431156,0,0,0,1,0
"PNG",1,13.1563313185876,0.0162600745652291,15.1594862321617,7.58975724843708,0,9.91414110142006,0.516,7.16434117153772,-0.544137763666667,7.99328232810159,11.3779380844524,29,2.69589456856295,0,0,0,1,0
"LKA",1,15.710513475361,0.0141994075588979,16.8047063149646,4.34657215368948,1.34647913165416,11.3061826827571,0.766,3.42184152961708,-0.107486747333333,11.7069861807528,9.64329861632556,27,2.98464799232974,0,0,0,1,0
"IRN",0,17.0685962368002,0.00618681214819835,15.4400203173352,3.82573863683113,0.410233594995493,12.9455729277957,0.774,5.52275533773925,-0.832209547333333,12.3111126098169,10.1378719916755,23.5,3.80103469042792,0,0,0,1,0
"PAK",0,17.0402349983569,0.0113770353983369,16.5297649399394,7.9478676661827,0.253617853024623,12.5386600961319,0.55,5.78818063310701,-1.01983460783333,12.415733715285,9.52255729823361,24.5,3.26003548544978,0,0,0,1,0
"ARE",0,13.4875526367734,0.00646304545433452,15.1652713722633,0,1.35724439166514,12.7620941818752,0.84,3.15966731374355,0.6448302865,9.95868571300089,10.6421540431353,24.5,3.5925707290542,0,0,0,1,0
"VNM",0,17.4807112000812,0.013818313820041,18.0248789750241,8.5976402129483,1.21896365157866,12.2321163937061,0.683,5.31468494148771,-0.3384076615,0,12.0305668821549,24,5.16200673078734,0,0,0,1,0
"AUS",1,15.9836966345266,0.00730985380049165,16.6905831560481,4.16098916879848,1.142719447161,14.0016725973219,0.939,7.36190026581344,1.544866234,11.6234108261453,13.8607418874634,24.5,2.81227160668197,0,1,0,0,0
"BHR",1,13.7285119810035,0.0060554288278002,13.5138201587868,0,0,10.3791025958081,0.824,1.40237105844796,-0.162563412166667,6.20455776256869,8.90439498030941,24,1.98536692637622,0,1,0,0,0
"ERI",1,12.564862353821,0.0086163434677053,14.928121079276,0,0,7.8666225637983,0.42,3.95010634278396,-1.58494044366667,7.51316354523408,10.7688900439773,26.5,1.39746633693081,0,1,0,0,0
"IDN",1,18.5599547239331,0.00996615548043326,19.1693750044619,6.84293349933986,1.29954881500337,13.7453672177991,0.689,8.50712546813885,-0.181098689833333,14.2914061703367,14.167929955697,28,6.44282528015554,0,1,0,0,0
"KEN",1,12.1594298284548,0.0169106603723842,14.8258739769917,4.01921683953026,0.45986990893624,11.1637935719859,0.555,5.03282355389914,-0.5861241595,8.35725915349991,8.43436309102056,27.5,1.32677056759582,0,1,0,0,0
"MYS",1,17.459787849398,0.00867477510346231,17.028565997203,5.93759709220786,1.99901648890915,12.5999270427836,0.789,7.24813974712176,0.312080825333333,12.6644053082278,12.4917010435104,27,6.66051112730373,0,1,0,0,0
"OMN",1,15.41796915775,0.0311099141791797,14.6986332621717,0,1.46407489662568,11.1018602555246,0.796,1.19371883986275,0.216900964333333,11.4641133005588,10.2235961724796,24.5,3.4730749772177,0,1,0,0,0
"PAK",1,17.0402349983569,0.0113770353983369,16.5297649399394,7.9478676661827,0.253617853024623,12.5386600961319,0.55,5.78818063310701,-1.01983460783333,12.415733715285,10.0601592244195,24.5,3.26003548544978,0,1,0,0,0
"PNG",1,13.1563313185876,0.0162600745652291,15.1594862321617,7.58975724843708,0,9.91414110142006,0.516,7.16434117153772,-0.544137763666667,7.99328232810159,11.6653759900674,29,2.69589456856295,0,1,0,0,0
"QAT",1,12.1925104319881,0.00655890726397822,13.8712678239883,0,0,11.9346111060539,0.856,0.366594295599179,0.483145813166667,4.59511985013459,10.2893705454135,24.5,1.33337066566885,0,1,0,0,0
"SAU",1,14.5247058694946,0.0050729110012888,16.1269453763675,0,0.6604485485475,13.3792347063631,0.847,4.18751850568537,-0.209612987833333,9.70735100670844,11.3000294831264,25,2.58912365474375,0,1,0,0,0
"SDN",1,10.5999796314069,0.00289512308387531,13.9166500777399,0,0.250758718347183,11.4677751584744,0.49,1.52546560950448,-1.658593893,5.47227067367148,9.50229483550376,27.5,0.842746860940448,0,1,0,0,0
"ARE",1,13.4875526367734,0.00646304545433452,15.1652713722633,0,1.35724439166514,12.7620941818752,0.84,3.15966731374355,0.6448302865,9.95868571300089,10.7982589292637,24.5,3.5925707290542,0,1,0,0,0
